genus,n_species,n_negative,n_positive,q25,median_pct,q75,prop_positive,iqr_pct,composition
thiomonas,4.0,4.0,0.0,0.0,0.0,0.1865,0.0,0.1865,PCuAC only
snodgrassella,4.0,4.0,0.0,0.658,0.658,0.6625000000000001,0.0,0.0045000000000000595,PCuAC only
motilimonas,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
albimonas,4.0,4.0,0.0,0.0,0.0,0.19375,0.0,0.19375,PCuAC only
aliarcobacter,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
mycoplana,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
reyranella,4.0,4.0,0.0,0.709,0.714,0.8965,0.0,0.1875,PCuAC only
herpetosiphon,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
oricola,3.0,3.0,0.0,0.0,0.0,0.3675,0.0,0.3675,PCuAC only
marisediminitalea,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
kitasatospora,3.0,3.0,0.0,0.752,0.752,0.7635000000000001,0.0,0.011500000000000066,PCuAC only
leptothrix,3.0,2.0,1.0,0.746,0.746,0.752,0.3333333333333333,0.006000000000000005,Mixed
paenirhodobacter,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
oxalicibacterium,3.0,3.0,0.0,0.3705,0.741,0.741,0.0,0.3705,PCuAC only
frateuria,3.0,0.0,3.0,0.8,0.8,0.8,1.0,0.0,Both proteins
maritimibacter,3.0,3.0,0.0,0.0,0.0,0.3675,0.0,0.3675,PCuAC only
marivivens,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
paenirhizobium,3.0,2.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,Mixed
nocardioides,3.0,2.0,1.0,0.722,0.73,0.7525,0.3333333333333333,0.03049999999999997,Mixed
hydrogenovibrio,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
martelella,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
nocardiopsis,3.0,1.0,2.0,1.1565,1.538,1.55,0.6666666666666666,0.39349999999999996,Mixed
nitrincola,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
glaciimonas,3.0,3.0,0.0,0.0,0.0,0.376,0.0,0.376,PCuAC only
mameliella,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
