genus,n_species,n_negative,n_positive,q25,median_pct,q75,prop_positive,iqr_pct,composition
rhodothermus,3.0,3.0,0.0,0.624,0.627,0.627,0.0,0.0030000000000000027,NirK only
mobilicoccus,3.0,3.0,0.0,1.266,1.266,1.268,0.0,0.0020000000000000018,NirK only
roseateles,3.0,2.0,1.0,0.28150000000000003,0.28200000000000003,0.5465,0.3333333333333333,0.26499999999999996,Mixed
roseivirga,3.0,3.0,0.0,0.27499999999999997,0.27499999999999997,0.27499999999999997,0.0,0.0,NirK only
mycolicibacillus,3.0,3.0,0.0,1.278,1.278,1.278,0.0,0.0,NirK only
marinicauda,3.0,3.0,0.0,0.47650000000000003,0.637,0.637,0.0,0.16049999999999998,NirK only
halomonas,3.0,1.0,2.0,0.28200000000000003,0.28200000000000003,0.28200000000000003,0.6666666666666666,0.0,Mixed
aestuariimicrobium,3.0,3.0,0.0,0.9550000000000001,0.958,0.963,0.0,0.007999999999999896,NirK only
advenella,3.0,0.0,3.0,0.268,0.268,0.268,1.0,0.0,Both proteins
stenotrophomonas,3.0,2.0,1.0,0.291,0.292,0.292,0.3333333333333333,0.0010000000000000009,Mixed
hymenobacter,3.0,3.0,0.0,0.2925,0.293,0.3,0.0,0.007500000000000007,NirK only
salinisphaera,3.0,3.0,0.0,0.5700000000000001,0.5700000000000001,0.7535000000000001,0.0,0.1835,NirK only
sphaerimonospora,3.0,3.0,0.0,1.262,1.262,1.262,0.0,0.0,NirK only
intrasporangium,3.0,3.0,0.0,1.1075,1.266,1.266,0.0,0.15850000000000009,NirK only
soonwooa,3.0,3.0,0.0,0.3,0.3,0.301,0.0,0.0010000000000000009,NirK only
lentzea,3.0,3.0,0.0,1.27,1.274,1.274,0.0,0.0040000000000000036,NirK only
solilutibacter,3.0,1.0,2.0,0.54,0.541,0.5435,0.6666666666666666,0.0034999999999999476,Mixed
bdellovibrio,3.0,3.0,0.0,0.271,0.271,0.4125,0.0,0.14149999999999996,NirK only
kaistia,3.0,0.0,3.0,0.27999999999999997,0.27999999999999997,0.28049999999999997,1.0,0.0005000000000000004,Both proteins
parafrigoribacterium,3.0,3.0,0.0,0.9490000000000001,0.9490000000000001,0.9490000000000001,0.0,0.0,NirK only
nitrospina,3.0,3.0,0.0,0.317,0.317,0.3175,0.0,0.0005000000000000004,NirK only
dokdonella,3.0,2.0,1.0,0.269,0.269,0.405,0.3333333333333333,0.136,Mixed
planomonospora,3.0,2.0,1.0,1.262,1.262,1.262,0.3333333333333333,0.0,Mixed
dermabacter,3.0,3.0,0.0,0.627,0.627,0.627,0.0,0.0,NirK only
ciceribacter,3.0,1.0,2.0,0.313,0.313,0.313,0.6666666666666666,0.0,Mixed
deinococcus,3.0,3.0,0.0,0.28500000000000003,0.28500000000000003,0.28500000000000003,0.0,0.0,NirK only
deefgea,3.0,0.0,3.0,0.298,0.298,0.4475,1.0,0.14950000000000002,Both proteins
brumimicrobium,3.0,3.0,0.0,0.272,0.272,0.28200000000000003,0.0,0.010000000000000009,NirK only
aminobacter,3.0,0.0,3.0,0.2975,0.311,0.624,1.0,0.3265,Both proteins
pelagibacterium,3.0,2.0,1.0,0.628,0.631,0.631,0.3333333333333333,0.0030000000000000027,Mixed
trinickia,3.0,3.0,0.0,0.295,0.295,0.295,0.0,0.0,NirK only
noviluteimonas,3.0,2.0,1.0,0.5339999999999999,0.5349999999999999,0.6684999999999999,0.3333333333333333,0.13449999999999995,Mixed
pelomonas,3.0,1.0,2.0,0.27999999999999997,0.27999999999999997,0.28049999999999997,0.6666666666666666,0.0005000000000000004,Mixed
nitrosospira,3.0,3.0,0.0,0.28450000000000003,0.28700000000000003,0.28700000000000003,0.0,0.0025000000000000022,NirK only
chloroflexus,3.0,2.0,1.0,0.2995,0.3,0.3,0.3333333333333333,0.0005000000000000004,Mixed
brevundimonas,3.0,2.0,1.0,0.3165,0.319,0.319,0.3333333333333333,0.0025000000000000022,Mixed
cecembia,3.0,3.0,0.0,0.27,0.27,0.27,0.0,0.0,NirK only
chitinibacter,3.0,0.0,3.0,0.602,0.602,0.602,1.0,0.0,Both proteins
paeniglutamicibacter,3.0,3.0,0.0,1.276,1.278,1.278,0.0,0.0020000000000000018,NirK only
saccharopolyspora,2.0,2.0,0.0,1.3365,1.415,1.4935,0.0,0.15700000000000003,NirK only
saccharomonospora,2.0,2.0,0.0,1.266,1.266,1.266,0.0,0.0,NirK only
mannheimia,2.0,2.0,0.0,0.295,0.295,0.295,0.0,0.0,NirK only
maribacter,2.0,2.0,0.0,0.27449999999999997,0.27599999999999997,0.27749999999999997,0.0,0.0030000000000000027,NirK only
paraglaciecola,2.0,0.0,2.0,0.557,0.557,0.557,1.0,0.0,Both proteins
arcticibacter,2.0,2.0,0.0,0.27499999999999997,0.27499999999999997,0.27499999999999997,0.0,0.0,NirK only
paraplanobispora,2.0,2.0,0.0,1.266,1.266,1.266,0.0,0.0,NirK only
antarcticibacterium,2.0,2.0,0.0,0.34474999999999995,0.4145,0.48424999999999996,0.0,0.1395,NirK only
saccharothrix,2.0,2.0,0.0,1.268,1.27,1.272,0.0,0.0040000000000000036,NirK only
planobispora,2.0,2.0,0.0,1.266,1.266,1.266,0.0,0.0,NirK only
paracoccus,2.0,0.0,2.0,0.6225,0.626,0.6295,1.0,0.006999999999999895,Both proteins
pasteurella,2.0,2.0,0.0,0.295,0.295,0.295,0.0,0.0,NirK only
lujinxingia,2.0,2.0,0.0,0.27999999999999997,0.27999999999999997,0.27999999999999997,0.0,0.0,NirK only
leucobacter,2.0,2.0,0.0,1.03275,1.1105,1.18825,0.0,0.15549999999999997,NirK only
pengzhenrongella,2.0,1.0,1.0,0.94675,0.9475,0.94825,0.5,0.0015000000000000568,Mixed
aerolutibacter,2.0,0.0,2.0,0.5309999999999999,0.5309999999999999,0.5309999999999999,1.0,0.0,Both proteins
kytococcus,2.0,2.0,0.0,1.2810000000000001,1.284,1.287,0.0,0.005999999999999783,NirK only
phenylobacterium,2.0,0.0,2.0,0.3195,0.32,0.3205,1.0,0.0010000000000000009,Both proteins
peristeroidobacter,2.0,0.0,2.0,0.27025,0.2705,0.27075000000000005,1.0,0.000500000000000056,Both proteins
parvibaculum,2.0,2.0,0.0,0.31275,0.3135,0.31425000000000003,0.0,0.0015000000000000568,NirK only
pricia,2.0,2.0,0.0,0.27325,0.27349999999999997,0.27374999999999994,0.0,0.0004999999999999449,NirK only
paludibacterium,2.0,0.0,2.0,0.35324999999999995,0.4265,0.49974999999999997,1.0,0.14650000000000002,Both proteins
methylotenera,2.0,0.0,2.0,0.5559999999999999,0.5559999999999999,0.5559999999999999,1.0,0.0,Both proteins
psychroserpens,2.0,2.0,0.0,0.27525,0.27549999999999997,0.27574999999999994,0.0,0.0004999999999999449,NirK only
necropsobacter,2.0,2.0,0.0,0.297,0.297,0.297,0.0,0.0,NirK only
neoaquamicrobium,2.0,0.0,2.0,0.3915,0.46799999999999997,0.5445,1.0,0.15299999999999997,Both proteins
pusillimonas,2.0,2.0,0.0,0.565,0.565,0.565,0.0,0.0,NirK only
snuella,2.0,2.0,0.0,0.27599999999999997,0.27599999999999997,0.27599999999999997,0.0,0.0,NirK only
nitratireductor,2.0,0.0,2.0,0.29025,0.2985,0.30675,1.0,0.016500000000000015,Both proteins
aquibaculum,2.0,2.0,0.0,0.943,0.943,0.943,0.0,0.0,NirK only
pseudonocardia,2.0,2.0,0.0,0.9520000000000001,0.9520000000000001,0.9520000000000001,0.0,0.0,NirK only
micropruina,2.0,2.0,0.0,1.287,1.288,1.2890000000000001,0.0,0.002000000000000224,NirK only
micrococcus,2.0,2.0,0.0,1.9109999999999998,1.9109999999999998,1.9109999999999998,0.0,0.0,NirK only
microbispora,2.0,0.0,2.0,1.266,1.266,1.266,1.0,0.0,Both proteins
rhodoblastus,2.0,1.0,1.0,0.83425,0.8355000000000001,0.8367500000000001,0.5,0.0025000000000000577,Mixed
arachnia,2.0,2.0,0.0,1.267,1.268,1.2690000000000001,0.0,0.002000000000000224,NirK only
amaricoccus,2.0,0.0,2.0,0.28025,0.28049999999999997,0.28075,1.0,0.0005000000000000004,Both proteins
afipia,2.0,1.0,1.0,0.28600000000000003,0.28600000000000003,0.28600000000000003,0.5,0.0,Mixed
methylacidiphilum,2.0,2.0,0.0,0.64475,0.6485000000000001,0.65225,0.0,0.007499999999999951,NirK only
methylacidimicrobium,2.0,2.0,0.0,0.6045,0.6160000000000001,0.6275000000000001,0.0,0.02300000000000002,NirK only
nostocoides,2.0,2.0,0.0,1.266,1.266,1.266,0.0,0.0,NirK only
mesorhizobium,2.0,0.0,2.0,0.28049999999999997,0.281,0.28150000000000003,1.0,0.0010000000000000564,Both proteins
mesonia,2.0,2.0,0.0,0.27499999999999997,0.27499999999999997,0.27499999999999997,0.0,0.0,NirK only
algorimicrobium,2.0,2.0,0.0,0.27549999999999997,0.27599999999999997,0.27649999999999997,0.0,0.0010000000000000009,NirK only
agrobacterium,2.0,0.0,2.0,0.317,0.317,0.317,1.0,0.0,Both proteins
rufibacter,2.0,2.0,0.0,0.267,0.267,0.267,0.0,0.0,NirK only
ottowia,2.0,1.0,1.0,0.5257499999999999,0.7595,0.99325,0.5,0.4675,Mixed
nocardia,2.0,2.0,0.0,1.04125,1.1175000000000002,1.19375,0.0,0.15250000000000008,NirK only
scardovia,2.0,2.0,0.0,1.0585,1.14,1.2214999999999998,0.0,0.1629999999999998,NirK only
bowdeniella,2.0,1.0,1.0,0.955,0.955,0.955,0.5,0.0,Mixed
haloferula,2.0,2.0,0.0,0.28225,0.2855,0.28874999999999995,0.0,0.00649999999999995,NirK only
vulcaniibacterium,2.0,2.0,0.0,0.53425,0.5365,0.5387500000000001,0.0,0.0045000000000000595,NirK only
humibacter,2.0,2.0,0.0,1.2730000000000001,1.276,1.279,0.0,0.005999999999999783,NirK only
caldimonas,2.0,0.0,2.0,0.29125,0.2915,0.29174999999999995,1.0,0.0004999999999999449,Both proteins
spirillospora,2.0,2.0,0.0,1.264,1.266,1.268,0.0,0.0040000000000000036,NirK only
ensifer,2.0,0.0,2.0,0.316,0.316,0.316,1.0,0.0,Both proteins
uruburuella,2.0,0.0,2.0,0.25925,0.2595,0.25975000000000004,1.0,0.000500000000000056,Both proteins
herbaspirillum,2.0,0.0,2.0,0.272,0.273,0.27399999999999997,1.0,0.0019999999999999463,Both proteins
bathymodiolus,2.0,2.0,0.0,0.616,0.617,0.618,0.0,0.0020000000000000018,NirK only
fulvimonas,2.0,2.0,0.0,0.2675,0.268,0.2685,0.0,0.0010000000000000009,NirK only
wocania,2.0,2.0,0.0,0.27625,0.27649999999999997,0.27674999999999994,0.0,0.0004999999999999449,NirK only
undibacterium,2.0,1.0,1.0,0.27474999999999994,0.27549999999999997,0.27625,0.5,0.0015000000000000568,Mixed
caenimonas,2.0,2.0,0.0,0.29125,0.3035,0.31575,0.0,0.024499999999999966,NirK only
fulvivirga,2.0,2.0,0.0,0.272,0.272,0.272,0.0,0.0,NirK only
galbibacter,2.0,2.0,0.0,0.27625,0.27649999999999997,0.27674999999999994,0.0,0.0004999999999999449,NirK only
gulosibacter,2.0,2.0,0.0,1.266,1.266,1.266,0.0,0.0,NirK only
tianweitania,2.0,0.0,2.0,0.3135,0.314,0.3145,1.0,0.0010000000000000009,Both proteins
