species,taxid,organism_name,nirK_present,pcuac_present,class,nirK_rep_accession,pcuac_rep_accession,species_resolved
wenzhouxiangella sp. xn201,2710755,Wenzhouxiangella sp. XN201,0,1,pcuac_only,NA,WP_164229860.1,0
stenotrophomonas sp. b1-1,2710648,Stenotrophomonas sp. B1-1,0,1,pcuac_only,NA,WP_164274428.1,0
sulfitobacter sediminilitoris,2698830,Sulfitobacter sediminilitoris,0,1,pcuac_only,NA,WP_164353255.1,1
unclassified rhodopseudomonas,1078;2269369;2638247;2638247;2991972;3457549,unclassified Rhodopseudomonas;Rhodopseudomonas sp. P2A-2r;Rhodopseudomonas sp. RCAM05734,0,1,pcuac_only,NA,WP_164604404.1,1
tabrizicola oligotrophica,2710650,Tabrizicola oligotrophica,0,1,pcuac_only,NA,WP_164626954.1,1
rhodopseudomonas sp. wa056,2269367,Rhodopseudomonas sp. WA056,0,1,pcuac_only,NA,WP_164631612.1,0
vibrio astriarenae,1481923,Vibrio astriarenae,0,1,pcuac_only,NA,WP_164650787.1,1
tropicibacter sp. alg240-r139,2305991,Tropicibacter sp. Alg240-R139,0,1,pcuac_only,NA,WP_164658206.1,0
mesorhizobium sp. m1a.f.ca.in.022.05.2.1,2496760,Mesorhizobium sp. M1A.F.Ca.IN.022.05.2.1,0,1,pcuac_only,NA,WP_164748321.1,0
mesorhizobium sp. m1a.f.ca.in.020.04.1.1,2496761,Mesorhizobium sp. M1A.F.Ca.IN.020.04.1.1,0,1,pcuac_only,NA,WP_164749265.1,0
mesorhizobium sp. m1a.f.ca.in.022.04.1.1,2496773,Mesorhizobium sp. M1A.F.Ca.IN.022.04.1.1,0,1,pcuac_only,NA,WP_164750447.1,0
mesorhizobium sp. m7a.f.ca.us.003.02.1.1,2496710,Mesorhizobium sp. M7A.F.Ca.US.003.02.1.1,0,1,pcuac_only,NA,WP_164770205.1,0
mesorhizobium sp. m7a.f.ca.us.006.01.1.1,2496707,Mesorhizobium sp. M7A.F.Ca.US.006.01.1.1,0,1,pcuac_only,NA,WP_164778306.1,0
mesorhizobium sp. m1a.f.ca.in.020.32.1.1,2496763,Mesorhizobium sp. M1A.F.Ca.IN.020.32.1.1,0,1,pcuac_only,NA,WP_164896167.1,0
photobacterium chitinilyticum,2485123,Photobacterium chitinilyticum,0,1,pcuac_only,NA,WP_164918486.1,1
aquifex aeolicus,224324;63363,Aquifex aeolicus;Aquifex aeolicus VF5,0,1,pcuac_only,NA,WP_164930690.1,1
paragemmobacter kunshanensis,2583234,Paragemmobacter kunshanensis,0,1,pcuac_only,NA,WP_165053257.1,1
methylobacterium alsaeris,2709665;3344826;407,Methylobacterium;Methylobacterium sp. DB0501;Methylobacterium alsaeris,0,1,pcuac_only,NA,WP_165089303.1,1
pikeienuella piscinae,2748098,Pikeienuella piscinae,0,1,pcuac_only,NA,WP_165102870.1,1
mesorhizobium zhangyense,1776730,Mesorhizobium zhangyense,0,1,pcuac_only,NA,WP_165121460.1,1
bradyrhizobium sp. 6(2017),1197460,Bradyrhizobium sp. 6(2017),0,1,pcuac_only,NA,WP_165123817.1,0
nordella sp. hks 07,2712222,Nordella sp. HKS 07,0,1,pcuac_only,NA,WP_165165672.1,0
affinirhizobium pseudoryzae,379684,Affinirhizobium pseudoryzae,0,1,pcuac_only,NA,WP_165219723.1,1
rhizorhabdus phycosphaerae,2711156,Rhizorhabdus phycosphaerae,0,1,pcuac_only,NA,WP_165322949.1,1
lichenibacterium ramalinae,2316527,Lichenibacterium ramalinae,0,1,pcuac_only,NA,WP_165361345.1,1
oceanimonas sp. mb9,2588453,Oceanimonas sp. MB9,0,1,pcuac_only,NA,WP_165662041.1,0
paremcibacter congregatus,2043170,Paremcibacter congregatus,0,1,pcuac_only,NA,WP_165776926.1,1
phenylobacterium kunshanense,1445034,Phenylobacterium kunshanense,0,1,pcuac_only,NA,WP_165843895.1,1
varunaivibrio sulfuroxidans,1773489,Varunaivibrio sulfuroxidans,0,1,pcuac_only,NA,WP_165886258.1,1
reinekea marinisedimentorum,230495,Reinekea marinisedimentorum,0,1,pcuac_only,NA,WP_165901765.1,1
methylorubrum aminovorans,269069,Methylorubrum aminovorans,0,1,pcuac_only,NA,WP_166058839.1,1
diaphorobacter sp. hdw4b,2714925,Diaphorobacter sp. HDW4B,0,1,pcuac_only,NA,WP_166067241.1,0
duganella aceris,2703883,Duganella aceris,0,1,pcuac_only,NA,WP_166101800.1,1
pontivivens nitratireducens,2758038,Pontivivens nitratireducens,0,1,pcuac_only,NA,WP_430693254.1,1
bradyrhizobium septentrionale,1404411,Bradyrhizobium septentrionale,0,1,pcuac_only,NA,WP_166205384.1,1
microbulbifer sp. sh-1,2681547,Microbulbifer sp. SH-1,0,1,pcuac_only,NA,WP_166218156.1,0
marinobacter caseinilyticus,2692195,Marinobacter caseinilyticus,0,1,pcuac_only,NA,WP_166268988.1,1
bradyrhizobium sp. 2s1,1404429,Bradyrhizobium sp. 2S1,0,1,pcuac_only,NA,WP_166295987.1,0
diaphorobacter sp. hdw4a,2714924,Diaphorobacter sp. HDW4A,0,1,pcuac_only,NA,WP_166308171.1,0
paracoccus xiamenensis,2714901,Paracoccus xiamenensis,0,1,pcuac_only,NA,WP_166328930.1,1
