species,taxid,organism_name,nirK_present,pcuac_present,class,nirK_rep_accession,pcuac_rep_accession,species_resolved
microbulbifer jejuensis,3233340,Microbulbifer jejuensis,1,0,nirK_only,WP_413392644.1,NA,1
georgenia phoenicis,554103,Georgenia phoenicis,1,0,nirK_only,WP_413450994.1,NA,1
flavobacterium oryzagri,3092665,Flavobacterium oryzagri,1,0,nirK_only,WP_413927831.1,NA,1
formosa bonchosmolovskayae,3382189,Formosa bonchosmolovskayae,1,0,nirK_only,WP_414037347.1,NA,1
streptoverticillium reticulum,1433415,Streptoverticillium reticulum,1,0,nirK_only,WP_414166581.1,NA,1
terrisphaera buseokensis,3391832,Terrisphaera buseokensis,1,0,nirK_only,WP_414663272.1,NA,1
tenacibaculum ascidiaceicola,1699411,Tenacibaculum ascidiaceicola,1,0,nirK_only,WP_425658491.1,NA,1
sphingomonas mangrovi,3242977,Sphingomonas mangrovi,1,0,nirK_only,WP_416460006.1,NA,1
ciceribacter azotifigens,2069303,Ciceribacter azotifigens,1,1,both,WP_416797379.1,WP_416798696.1,1
flavobacterium melibiosi,3398734,Flavobacterium melibiosi,1,0,nirK_only,WP_416854959.1,NA,1
flavobacterium kochi,3401729,Flavobacterium kochi,1,0,nirK_only,WP_417957450.1,NA,1
flavobacterium cryophilum,3401732,Flavobacterium cryophilum,1,0,nirK_only,WP_417972511.1,NA,1
flavobacterium glycogeni,3401728,Flavobacterium glycogeni,1,0,nirK_only,WP_417978360.1,NA,1
flavobacterium rhamnosi,3401725,Flavobacterium rhamnosi,1,0,nirK_only,WP_417988657.1,NA,1
capnocytophaga endodontalis,2708117,Capnocytophaga endodontalis,1,0,nirK_only,WP_418219537.1,NA,1
salinimicrobium soli,1254399,Salinimicrobium soli,1,0,nirK_only,WP_418334298.1,NA,1
tenacibaculum insulae,2029677,Tenacibaculum insulae,1,0,nirK_only,WP_418645236.1,NA,1
tenacibaculum aestuariivivum,2006131,Tenacibaculum aestuariivivum,1,0,nirK_only,WP_418650127.1,NA,1
tenacibaculum soleae,447689,Tenacibaculum soleae,1,0,nirK_only,WP_418652949.1,NA,1
pollutimonas rozaliensis,3148824,Pollutimonas rozaliensis,1,0,nirK_only,WP_420375967.1,NA,1
ornithinimicrobium pulveris,3405419,Ornithinimicrobium pulveris,1,0,nirK_only,WP_420748659.1,NA,1
flavobacterium nitratireducens,992289,Flavobacterium nitratireducens,1,0,nirK_only,WP_422851741.1,NA,1
